投票区,番号,住所,備考,名称
24,3,大阪府箕面市船場東３丁目１０番内,箕面市立船場広場 エリアB,No.3 箕面市立船場広場 エリアB
24,4,大阪府箕面市船場東３丁目１番６号,COM２号館北側ガードレール,No.4 COM２号館北側ガードレール
24,5,大阪府箕面市船場東３丁目２番２６号,阪急オアシス箕面船場店入口前ガードレール,No.5 阪急オアシス箕面船場店入口前ガードレール
24,6,大阪府箕面市船場東３丁目６番内,ファミリーマート前道路柵,No.6 ファミリーマート前道路柵
24,7,大阪府箕面市船場東２丁目２番内,ジェット駐輪場フェンス,No.7 ジェット駐輪場フェンス
25,1,大阪府箕面市西宿２丁目１番先,萱野交差点南東ガードレール,No.1 萱野交差点南東ガードレール
25,2,大阪府箕面市西宿２丁目１３番先,空き地 南側,No.2 空き地 南側
25,3,大阪府箕面市西宿２丁目１１番内,西宿児童遊園 西側,No.3 西宿児童遊園 西側
25,4,大阪府箕面市西宿２丁目１７番先,芋川ガードレール,No.4 芋川ガードレール
25,5,大阪府箕面市今宮４丁目１０番５５号先,ガードレール,No.5 ガードレール
25,6,大阪府箕面市今宮４丁目１５番内,今宮西公園 東側,No.6 今宮西公園 東側
25,7,大阪府箕面市西宿３丁目２番内,西宿南集会所,No.7 西宿南集会所
26,1,大阪府箕面市白島１丁目２０番先,ウェルビー箕面道路向い,No.1 ウェルビー箕面道路向い
26,2,大阪府箕面市石丸１丁目２７番地内,道路南側,No.2 道路南側
26,3,大阪府箕面市白島２丁目１９番内,白島公園 西側,No.3 白島公園 西側
26,4,大阪府箕面市白島２丁目３番先,唐子４号橋北側柵,No.4 唐子４号橋北側柵
26,5,大阪府箕面市西宿１丁目１４番内,イオン２階東側出入口前,No.5 イオン２階東側出入口前
26,6,大阪府箕面市白島３丁目５番先,白島荘 東側,No.6 白島荘 東側
26,7,大阪府箕面市西宿１丁目１４番内,Q'sモールEAST,No.7 Q'sモールEAST
27,1,大阪府箕面市今宮２丁目１４番先,沼田池 西側,No.1 沼田池 西側
27,2,大阪府箕面市今宮２丁目３番地先,今宮交差点歩道橋南側,No.2 今宮交差点歩道橋南側
27,3,大阪府箕面市今宮３丁目２０番内,長池児童遊園 西側,No.3 長池児童遊園 西側
27,4,大阪府箕面市今宮３丁目１２番内,ジンデン公園 北側,No.4 ジンデン公園 北側
27,5,大阪府箕面市西宿２丁目７番先,芋川横ガードレール,No.5 芋川横ガードレール
