通し番号 投票区 番号 設置場所 設置説明
288 40 8 大池一丁目５ー８ 大池小学校正門西側フェンス
289 41 1 中津町１５ イオン駐輪場南側水路鉄柵
290 41 2 中津町２２－２５ スギ薬局西側水路鉄柵
291 41 3 中津町１０－１５ 中津小学校正門横の塀
292 41 4 寺田町１ サンアベニュー東側水路鉄柵
293 41 5 五十鈴町１ 先鉾橋バス停(茨木行き)歩道鉄柵
294 41 6 中津町４ イオン第３駐車場北側金網
295 41 7 五十鈴町４－１５ 清水宅南側道路鉄柵
296 42 1 井口台１１先 井口台東児童公園の向かい側の歩道（奥）の鉄柵
297 42 2 井口台１２先 井口台西児童公園南側フェンス
298 42 3 井口台３先 井口台南児童遊園北側・入口横のフェンス
299 42 4 新郡山二丁目２ 郡山団地・阪急バス停付近（横）の歩道の鉄柵
300 42 5 新郡山二丁目１ Ａ－１棟西側法面
301 42 6 新郡山二丁目３０－１８ 郡山小学校正門南側植栽
302 42 7 新郡山二丁目１０ タイムズ茨木新郡山前フェンス
303 43 1 沢良宜西一丁目１ 南茨木駅東口道路鉄柵
304 43 2 沢良宜西一丁目４ パロスサワラギ南側水路鉄柵
305 43 3 天王二丁目１０－２４ 日伸マンション前歩道鉄柵
306 43 4 沢良宜西一丁目１６-１ 沢良宜西会館西側金網
307 43 5 天王二丁目３ ベストライフ南茨木南側鉄柵
308 43 6 天王二丁目１ モノレール南茨木駅西側北階段下道路鉄柵
309 43 7 天王二丁目１３－５７ 天王小学校東門の塀
310 44 1 東奈良三丁目１４ 南茨木駅北自転車駐車場西側道路鉄柵
311 44 2 東奈良一丁目２ シルバー人材センター北側公園西側鉄柵
312 44 3 東奈良二丁目１ おおさかや酒店南側歩道鉄柵
313 44 4 東奈良二丁目５－３６ 東奈良小学校西側ブロック塀
314 44 5 東奈良二丁目１８ 文化財資料館玄関向かいの「小川」の鉄柵
315 44 6 美沢町７ 美沢ハイタウンＡ棟西側水路鉄柵
316 44 7 東奈良三丁目１５ 阪急オアシス入口東側水路鉄柵
317 44 8 美沢町１ 美沢ハイタウンＧ棟東側道路鉄柵
318 45 1 山手台新町二丁目１１ 山手台新町中央公園南側鉄柵
319 45 2 山手台五丁目１１ 山手台東公園西側金網
320 45 3 山手台四丁目６ 桑原運動公園フェンス
321 45 4 山手台七丁目１０ 山手台北３号児童遊園西側金網
322 45 5 山手台四丁目８ 山手台小学校正門東の金網
323 45 6 山手台六丁目１２ 山手台西公園西側フェンス
324 45 7 山手台五丁目２７ 緑地公園フェンス
325 46 1 太田一丁目１ ハイツ弥栄南側駐車場の歩道鉄柵
326 46 2 太田一丁目１８ 太田一丁目児童遊園北側金網
327 46 3 太田二丁目６－１ 太田公民館分室東側金網
328 46 4 太田二丁目１２ ファミリーマート駐車場北側歩道鉄柵
329 46 5 花園一丁目１３ 太田池東側ガードレール
330 46 6 花園一丁目２１ 太田小学校西側のフェンス
331 46 7 高田町１４ くすの木公園西側金網
332 47 1 白川二丁目７ 山根宅北側道路鉄柵
333 47 2 白川一丁目１１ 白川西公園東側金網
334 47 3 鮎川四丁目２８ シャングリラ鮎川東側水路鉄柵
335 47 4 鮎川三丁目１６ 鮎川第一児童遊園西側金網
336 47 5 鮎川四丁目２３ 松下宅西側水路鉄柵
337 47 6 白川一丁目４ 白川小学校正門横の塀
338 47 7 白川二丁目２４ 白川中央公園南側金網
339 47 8 白川三丁目１ 白川高層住宅内、京阪バスロータリーのバス停付近（白川３丁目バス停）
340 48 1 東宇野辺町１ 東洋製缶㈱正門東側道路鉄柵
341 48 2 宇野辺二丁目６ 宇野辺二丁目第三児童遊園金網
342 48 3 宇野辺一丁目 モノレ－ル宇野辺駅前自転車駐車場北側金網
343 48 4 宇野辺一丁目６ 吉野工業所南側歩道鉄柵
344 48 5 宇野辺二丁目２ シャンボール茨木南側児童遊園金網
345 48 6 宇野辺二丁目１０ 北向溝橋西側鉄柵
346 48 7 宇野辺二丁目４ 伊藤宅西側水路鉄柵
347 49 1 北春日丘二丁目１ ＮＨＫ春日丘寮南側道路鉄柵
348 49 2 北春日丘二丁目９ 松沢池バス停東側道路鉄柵
349 49 3 北春日丘三丁目12-23 西小学校正門東側の塀
350 49 4 北春日丘三丁目12-23 西小学校西側柵
351 49 5 北春日丘三丁目12-23 西小学校敷地の東端（グラウンド側）擁壁の白いフェンス
352 49 6 北春日丘四丁目１１ サンライズ春日丘南側道路ガードレール
353 49 7 北春日丘四丁目１１ マンションＢＥＲＧ南側道路ガードレール
354 50 1 五日市一丁目１ 大和紙器㈱西側ガ－ドレ－ル
355 50 2 南耳原二丁目１ かに道楽東側水路鉄柵
356 50 3 西太田町９－４ 西太田町西児童遊園北側金網
357 50 4 西太田町２５ 阪本宅東側道路鉄柵
358 50 5 西河原北町９ 西河原コミュニティセンター北側水路鉄柵
359 50 6 城の前町１ 西河原公園駐車場付近
360 50 7 東太田一丁目５ 太田南公園西側フェンス
361 51 1 南安威二丁目４ 府営安威団地 B2･B13棟間の植栽
362 51 2 南安威二丁目４ 府営安威団地 B1・B3棟間の植栽
363 51 3 南安威二丁目４ 府営安威団地 B8棟南側の植栽
364 51 4 南安威三丁目１０ 北中学校南門東側水路鉄柵
365 51 5 南安威三丁目１０ 北中学校正門北側ブロック塀
366 51 6 南安威三丁目１０ 北中学校北西角塀
367 51 7 西安威一丁目５ 西安威一丁目児童遊園東側金網
368 52 1 総持寺駅前町２－１４ 総持寺南側道路前鉄柵
369 52 2 総持寺一丁目２－２０ コインパーキング横鉄柵
370 52 3 総持寺二丁目１５ 総持寺住宅第二児童遊園西側金網
371 52 4 総持寺一丁目１ 行岡学園南側道路鉄柵
372 52 5 総持寺駅前町１５ 総持寺公園入口西側の金網
373 52 6 総持寺二丁目２－１５ 総持寺保育所東側金網
374 52 7 総持寺駅前町６ 大紅ビル東側阪急電鉄金網
375 53 1 東中条町２－１３ 合同庁舎西側道路鉄柵
376 53 2 東中条町１０ 東中条町児童遊園西側金網
377 53 3 東中条町１３－１３ ジオグランデ茨木東中条西側水路鉄柵
378 53 4 下中条町３ 下中条町児童遊園南側金網
379 53 5 下中条町７ コート中条西側歩道鉄柵
380 53 6 西中条町１０ リバティー西中条東側道路鉄柵
381 53 7 西中条町２ ＪＲ茨木南自転車駐車場南側フェンス
382 53 8 東中条町６ ステイツグラン茨木Ｂ棟東側水路鉄柵
383 54 1 山手台一丁目２ 山手台南公園西側金網
384 54 2 山手台二丁目２ 山手台二丁目第２駐車場東側歩道鉄柵
385 54 3 山手台三丁目２７ 保育園前バス停の公園金網
386 54 4 山手台三丁目３０ ショッピングモ－ル北側水路金網
387 54 5 山手台一丁目１９ 山手台南２号児童遊園西側金網
388 54 6 山手台二丁目３ テニスクラブ管理事務所南側金網
389 54 7 山手台三丁目１５ 永井宅西側金網
390 55 1 真砂一丁目９ タナカモータープール南側道路鉄柵
391 55 2 真砂一丁目１６ 真砂二号公園東側金網
392 55 3 真砂一丁目２２ 真砂一丁目児童遊園西側金網
393 55 4 真砂一丁目１１ 平和堂西側広場フェンス
394 55 5 沢良宜東町１ 玉櫛分団屯所北西歩道鉄柵
395 55 6 沢良宜東町１９ 沢良宜橋バス停北側植栽
396 55 7 沢良宜東町１１ 沢良宜東町児童遊園南側金網
397 56 1 大同町１ 笠岡宅東側植栽の鉄柵
398 56 2 星見町１ アルコバレーノ南側水路鉄柵
399 56 3 五十鈴町１１－１１ 中村宅東側ガ－ドレ－ル
400 56 4 桑田町１３－２２ 中津コミュニティセンタ－南側金網
401 56 5 桑田町２４－２１ シニアプラザいばらき北側水路鉄柵
402 56 6 五十鈴町６ コスモ五十鈴西側歩道鉄柵
403 56 7 星見町４ ルイシャンスⅡ 北側歩道鉄柵
404 57 1 水尾一丁目１７ 油谷宅東側水路鉄柵
405 57 2 水尾一丁目１４ 小山モータープール東側水路鉄柵
406 57 3 水尾一丁目８ 古山宅北側水路鉄柵
407 57 4 水尾二丁目１１ アクティブハイツ北側の田の東側歩道鉄柵
